protocol_id,task,model,seed,regime,regime_n,ramp_q33,ramp_q67,test_rmse,test_mae,test_smape,rmse_h1,mae_h1,smape_h1,rmse_h2,mae_h2,smape_h2,rmse_h4,mae_h4,smape_h4,rmse_h8,mae_h8,smape_h8,rmse_h24,mae_h24,smape_h24,picp95,mpiw95
SpikeLoRA-TS-R2-corrected-v1,WS,gru,2,medium,7276,0.3999999761581421,1.0,0.20985848992103062,0.12800852197615115,9.502314992940638,0.06113578178704329,0.0457754620586928,3.384760255600471,0.07773873334961377,0.05795520704614389,4.482600182468955,0.1276570457018474,0.09368673001363292,7.273255052530227,0.21896919654805286,0.1595410273388364,12.261533970730715,0.38233258313664276,0.28308418342344965,20.10942550337282,0.9412589334799341,0.6523621678352356
SpikeLoRA-TS-R2-corrected-v1,WS,gru,2,high,6474,0.3999999761581421,1.0,0.19672452200511742,0.11928511655069185,7.99115745105832,0.06719973188418464,0.051008222286886076,3.572085847017206,0.0818863182003008,0.061821321038725494,4.435817226625258,0.1305545098657115,0.09629378647100126,6.683565494691118,0.2144456597468309,0.15533656368919976,10.014725083585702,0.3453260686459577,0.23196568926764669,15.249593603372317,0.9464936669755947,0.6530798077583313
SpikeLoRA-TS-R2-corrected-v1,WS,tcn,0,low,7251,0.3999999761581421,1.0,0.16677400571097234,0.10618629167530722,9.703867142797485,0.05616814964051099,0.04238509558888242,3.9850669099617484,0.07169549182547924,0.053799479661390974,5.100617883103302,0.10402284545183571,0.07895875698845069,7.604878207880604,0.16411147093145936,0.12493154125005816,11.910736370254353,0.3049908409364079,0.23085658488775382,19.918036342787417,0.9671493587091435,0.6614882349967957
SpikeLoRA-TS-R2-corrected-v1,WS,tcn,0,medium,7276,0.3999999761581421,1.0,0.19684429795752031,0.12478880460869159,9.459724529684085,0.060413855419091264,0.04665077457623275,3.5576633796042043,0.08204634939804382,0.06127952191612103,4.695390579100788,0.13003700755799652,0.09484520729850321,7.437247935833283,0.21634945536128986,0.1584221476739157,12.645486319011317,0.3458905038390549,0.26274637157868524,18.962834434870828,0.9416712479384277,0.6614373326301575
SpikeLoRA-TS-R2-corrected-v1,WS,tcn,0,high,6474,0.3999999761581421,1.0,0.21316379669021424,0.13248426367332805,8.88808999512831,0.06545981626943485,0.050652572078987664,3.6195592056979433,0.08661448158622576,0.06494787907136382,4.66707551140042,0.1434833536153462,0.10215896565051663,7.131399218688879,0.2398168976705443,0.17180356631906527,11.197071505284063,0.37055006133777035,0.2728583352467069,17.825344534570238,0.9315415508186593,0.6615171432495117
SpikeLoRA-TS-R2-corrected-v1,WS,tcn,1,low,7251,0.3999999761581421,1.0,0.18201621504722457,0.1112541261450568,10.013758089077557,0.05387795507710856,0.04036570248842535,3.7923312798789084,0.06941711552464357,0.052030337545694506,4.987229116396122,0.1050730734171859,0.07894628853686776,7.582985642458767,0.17378804180474508,0.130485286015245,12.31122949158327,0.3415923132886243,0.25444301613905135,21.395014915070714,0.9691904564887601,0.6967828869819641
SpikeLoRA-TS-R2-corrected-v1,WS,tcn,1,medium,7276,0.3999999761581421,1.0,0.21434733943464837,0.13018995133024314,9.74337952480095,0.058546532110127454,0.04483672851976161,3.5443764729157494,0.07933938707803653,0.060865714589012,4.80335010509499,0.12662542844077923,0.09234094495233303,7.306368732511325,0.21904616599673604,0.15752011055045892,12.42952565611863,0.39495094997207003,0.29538625803965013,20.63327665736406,0.942495876855415,0.6976210474967957
SpikeLoRA-TS-R2-corrected-v1,WS,tcn,1,high,6474,0.3999999761581421,1.0,0.2125548184799093,0.1276816786698143,8.62560375917155,0.060518974700981665,0.048014729469324065,3.6141068690801754,0.08231996624408164,0.06217870309576047,4.6176860857381055,0.1320455676571082,0.09510932703941812,6.769830111795064,0.22832842087612645,0.1647577379859816,10.771561809488112,0.38195383416870904,0.2683478957585873,17.35483391975629,0.9476367006487488,0.6979936361312866
SpikeLoRA-TS-R2-corrected-v1,WS,tcn,2,low,7251,0.3999999761581421,1.0,0.16811294901792082,0.10596587027768203,9.582401840418123,0.055267914900624326,0.04043943829214864,3.7206199736320382,0.07045396892789854,0.05210818583974179,4.876487247260757,0.10327170959636346,0.0781700336888747,7.449551752370014,0.16683406712569387,0.12632124088761099,11.835338555330923,0.30788449461721534,0.23279045268003407,20.03001167349689,0.9721969383533305,0.6865992546081543
SpikeLoRA-TS-R2-corrected-v1,WS,tcn,2,medium,7276,0.3999999761581421,1.0,0.20510697168699646,0.12923479429013524,9.63974041003812,0.06471429981726641,0.0498047222093018,3.5658176475821417,0.08691259763848061,0.06584196887939038,4.852843493659444,0.13036779879203864,0.0966087353793129,7.39192164555771,0.21599904553829952,0.15908311146048806,12.32380955600743,0.36735712638875884,0.274835433522183,20.064309707383874,0.9436778449697636,0.6871411800384521
