task,model,regime,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n
SR,tcn,low,21.622837867274132,1.2562549104912528,18.50212766858995,24.743548065958315,3,10.523727413508446,1.6904308833756179,6.324464307059689,14.722990519957204,3,190.89180203607273,0.28617665511338086,190.18089981489183,191.60270425725363,3,0.8265410958904109,0.0001782248287214264,0.8260983608722192,0.8269838309086026,3,202.5906524658203,3.8487940425454097,193.02971804009172,212.1515868915489,3
SR,tcn,medium,66.36391956582732,0.8223503803081922,64.32108797385682,68.40675115779781,3,33.81153332438209,1.0214290878551795,31.27416280739374,36.348903841370436,3,75.8178884275266,0.22072109303744297,75.26958683654033,76.36619001851287,3,0.9120437782536284,0.00043891896483847366,0.9109534431006842,0.9131341134065726,3,315.2737528483073,3.4846713974608905,306.61734921692425,323.93015647969037,3
WP,gru,high,580.9766852837265,20.002815636342802,531.2869366209139,630.6664339465391,3,400.57980470971984,11.196865947768924,372.76524775579867,428.394361663641,3,68.98117117850165,0.6446420550448237,67.37979153900442,70.5825508179989,3,0.9452270141689937,0.004365786975802729,0.9343817981010681,0.9560722302369192,3,1823.1353759765625,21.735244140894295,1769.1420363327356,1877.1287156203894,3
WP,itransformer,high,550.7406333720888,4.4786569786695996,539.6150326735197,561.8662340706579,3,332.2465356494129,2.706570045653283,325.52304292959514,338.9700283692307,3,69.27226070220753,0.7483034762899339,67.41337181694487,71.13114958747019,3,0.9546040610887028,0.0008017363731596118,0.9526124375292797,0.9565956846481258,3,1850.8538411458333,14.100486855064439,1815.8262899955619,1885.8813922961047,3
WP,lstm,high,636.3312592342876,27.918938181725245,566.9767720258972,705.685746442678,3,412.2709937560364,15.271815678588526,374.3337005024248,450.20828700964796,3,70.6111656272882,0.723766167869437,68.813230795217,72.40910045935941,3,0.9396007860171683,0.0005565673408656195,0.9382181960966126,0.9409833759377241,3,1947.9786376953125,42.325673360961865,1842.8358363254238,2053.1214390652012,3
WP,mlp,high,677.3329790842851,22.395093422767268,621.7004829553065,732.9654752132636,3,458.1863091548012,18.944480803697804,411.1256099613885,505.24700834821397,3,74.38437157436064,2.7771467155801326,67.48555668720996,81.28318646151132,3,0.9348984727824319,0.011886867934707258,0.9053698558715958,0.964427089693268,3,2008.0529378255208,15.507039442580236,1969.5313163490848,2046.5745593019567,3
WP,patchtst,high,532.6139403051175,5.856578662734714,518.0653923873662,547.1624882228688,3,319.8790519217512,5.600457487246552,305.96674427479996,333.7913595687025,3,67.47656796811202,0.5459788073079832,66.1202814230786,68.83285451314545,3,0.9558313510531941,0.0010847785814631548,0.9531366116701158,0.9585260904362723,3,1807.8135579427083,16.654092811976724,1766.4424979339994,1849.184617951417,3
WP,snn_tcn,high,989.8108483930522,43.479715680232545,881.8012469769428,1097.8204498091616,3,704.8537648791367,37.60140757806197,611.4466903007359,798.2608394575376,3,82.88833405946559,0.567487194381551,81.47861771898447,84.29805039994672,3,0.9526252283931465,0.004400164614683966,0.9416946135360361,0.9635558432502568,3,3486.4661458333335,203.8850703471755,2979.9875537273224,3992.9447379393446,3
WP,tcn,high,651.5854909527519,32.443743110827995,570.9907651818029,732.1802167237009,3,436.62723816866946,30.73918433893124,360.2668711248315,512.9876052125074,3,72.02472191203812,1.5969025815129363,68.05779598735954,75.9916478367167,3,0.9411728203537076,0.00482072463981835,0.9291974764781192,0.953148164229296,3,1972.32275390625,81.32724612234772,1770.2946748234287,2174.350832989071,3
WS,gru,high,0.19602719949603706,0.0014650458867002788,0.1923878237594853,0.19966657523258882,3,0.12113612912953568,0.0018179982188156613,0.11661997119433673,0.12565228706473464,3,8.252510780045544,0.2882646348807197,7.5364217295832825,8.968599830507806,3,0.9441767068273093,0.002216760358468978,0.9386699688229915,0.949683444831627,3,0.6384056409200033,0.013249937829183859,0.6054909706805882,0.6713203111594184,3
