task,mode,fraction,regime,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n
EC,spikelora,0.2,high,6162.794153930833,135.03640846741132,5827.345119201772,6498.243188659894,3,4685.1617323834025,162.82000248792704,4280.694423980873,5089.629040785932,3,14.758776728711902,0.5625274723992586,13.361381020646629,16.156172436777176,3,0.8677949894817365,0.015718592064955766,0.8287478421580443,0.9068421368054287,3,18234.613932291668,143.29344030319524,17878.65329339247,18590.574571190868,3
EC,spikelora,0.2,low,5460.484681166339,175.5623235674047,5024.36369243544,5896.605669897239,3,4596.089707940505,155.80914670107416,4209.038330789524,4983.141085091486,3,16.217459436665028,0.5601431834716326,14.825986630640504,17.60893224268955,3,0.9265653379218048,0.008439181201756716,0.9056012496424863,0.9475294262011233,3,18234.613932291668,143.29344030319524,17878.65329339247,18590.574571190868,3
EC,spikelora,0.2,medium,6538.202754135651,348.328230215876,5672.9074613998655,7403.498046871437,3,5284.974267629469,298.43834271592556,4543.612325865756,6026.336209393182,3,17.4311253395438,0.921600911887006,15.141741759170166,19.720508919917435,3,0.8399579390115668,0.029112527878558017,0.7676384106249542,0.9122774673981794,3,18234.613932291668,143.29344030319524,17878.65329339247,18590.574571190868,3
EC,spikelora,0.5,high,6921.439835137201,406.99564422027623,5910.406606824022,7932.47306345038,3,5409.579684941403,293.3957608836133,4680.744210871769,6138.415159011037,3,16.784591687710282,0.792066481656015,14.816989470439557,18.752193904981006,3,0.8071332950851023,0.01249642057332122,0.7760904654774071,0.8381761246927976,3,17368.651041666668,1329.575731517579,14065.801826416748,20671.500256916588,3
EC,spikelora,0.5,low,5956.991993615552,577.1999171014554,4523.147912342431,7390.8360748886735,3,5190.074502728886,622.1776688430331,3644.4994921661523,6735.649513291619,3,17.843573004749036,2.200738733848089,12.376634922355073,23.310511087143,3,0.8847146544307427,0.04614633617339155,0.7700808004847329,0.9993485083767525,3,17368.734375,1329.719317527428,14065.528472328138,20671.94027767186,3
EC,spikelora,0.5,medium,7500.844529191337,365.01262366018153,6594.102905503386,8407.586152879288,3,6226.014102697668,311.15130770746777,5453.071405170695,6998.9568002246415,3,20.095910099392643,0.8251333170713527,18.046165309259454,22.145654889525833,3,0.7619539240990346,0.030198644927773292,0.6869363313911248,0.8369715168069445,3,17368.734375,1329.719317527428,14065.528472328138,20671.94027767186,3
SR,fullft,0.1,high,85.92579911424173,1.691154907525361,81.7247374320984,90.12686079638506,3,58.041170748961925,2.7469822321752195,51.21728859259193,64.86505290533192,3,64.60331870420612,1.112046336822058,61.840842461726865,67.36579494668537,3,0.990870062965083,0.0013776538690966345,0.9874477810351636,0.9942923448950023,3,470.3515116373698,7.38223451707947,452.013024476735,488.68999879800464,3
SR,fullft,0.1,low,39.68450266884826,5.217689489920866,26.723043438893118,52.64596189880341,3,19.463478203052073,1.7623615398793337,15.085529440153689,23.841426965950458,3,191.80703726284443,0.19017047693433203,191.33462760943615,192.2794469162527,3,0.9961567732115677,0.001231585623936262,0.993097344917936,0.9992162015051994,3,302.1378173828125,5.830940685010683,287.6529577323777,316.6226770332473,3
SR,fullft,0.1,medium,99.65242522858347,3.4942219927826113,90.97229660319236,108.33255385397457,3,62.673308518977215,1.4111725807424713,59.16776149341025,66.17885554454418,3,82.04121015871193,0.4776458926296014,80.8546719839828,83.22774833344107,3,0.9783773495122533,0.003246458997576524,0.9703126982868222,0.9864420007376844,3,451.0882873535156,8.561871339731107,429.81941987559884,472.3571548314324,3
SR,fullft,0.2,high,97.69199037751919,15.009354918520508,60.406685795839145,134.97729495919924,3,66.68198603342744,12.775582692855666,34.945679276913125,98.41829278994175,3,67.12706785785552,1.2745062060023304,63.96101892770453,70.29311678800651,3,0.988504102270559,0.0036236677921994706,0.9795024124532128,0.9975057920879051,3,490.94370524088544,19.81846396710862,441.711911511836,540.1754989699349,3
SR,fullft,0.2,low,45.658924757940106,7.274422479109073,27.58825754660487,63.72959196927535,3,23.28971490584189,3.992399896817516,13.372043761892275,33.20738604979151,3,191.372589213351,0.19830591549689192,190.8799700102081,191.8652084164939,3,0.9952054794520548,0.0019993470191937146,0.9902388261228616,1.000172132781248,3,322.2564188639323,10.089835488572863,297.19187802172223,347.3209597061424,3
SR,fullft,0.2,medium,99.01517983125092,0.23070391673040402,98.44207953145951,99.58828013104232,3,63.353935064315344,1.8863415463645083,58.6680028918079,68.03986723682279,3,82.7906110696789,0.526846806034341,81.48185105051,84.0993710888478,3,0.9825172495836307,0.0043506693771708975,0.9717095877125771,0.9933249114546844,3,468.7830505371094,18.632836732633695,422.4965181332608,515.069582940958,3
SR,fullft,0.5,high,105.1660339146996,19.768696454717738,56.05786953999878,154.27419828940043,3,73.0431479152162,18.5843095583776,26.877163694980375,119.20913213545202,3,67.28864769842416,3.8588631125197974,57.702700316250265,76.87459508059806,3,0.9903358137759969,0.0013339523992374077,0.9870220923154125,0.9936495352365813,3,513.8585001627604,33.498003201199225,430.6448471433593,597.0721531821614,3
SR,fullft,0.5,low,92.45376067330375,22.61161189144917,36.283402850988736,148.62411849561875,3,42.32298668174802,9.700496400830648,18.225617750044883,66.42035561345116,3,192.05247210182247,0.32370735352030183,191.24833845738175,192.8566057462632,3,0.9719653729071537,0.016766165917366925,0.9303159078708756,1.0136148379434318,3,352.4136962890625,30.252078602595443,277.26336697445123,427.56402560367377,3
